Day 1
13.00-14.00,b9394:mal_1-nor_1:0-2,b9901:kop_1-nor_2:0-0,g9596:kop_1-nor_1:0-0,b9596:kop_2-nor_1:0-0,g9798:sto_1-nor_1:0-0,b9798:kop_1-nor_1:0-0,g9394:mal_1-nor_1:0-0,b9901:sto_1-nor_1:0-0
14.00-15.00,g9596:sto_1-sto_2:0-0,b9596:sto_1-sto_2:0-0,g9798:got_1-got_2:0-0,b9798:sto_1-got_1:0-0,b9901:hel_1-got_1:0-0
15.00-16.00,b9394:kop_1-nor_1:2-0,g9394:kop_1-nor_1:0-0,b9596:kop_1-nor_1:0-0,b9901:kop_1-nor_1:0-0,b9901:nor_2-sto_1:0-0
Day 2
09.00-10.00,b9394:kop_1-mal_1:5-0,g9596:kop_1-sto_2:0-0,g9798:sto_1-got_2:0-0,b9798:kop_1-got_1:0-0,g9394:kop_1-mal_1:0-0,g9596:nor_1-sto_1:0-0,b9596:kop_2-sto_1:0-0,g9798:nor_1-got_1:0-0
10.00-11.00,b9798:nor_1-sto_1:0-0,b9901:nor_2-got_1:0-0,b9596:kop_1-sto_2:0-0,b9901:sto_1-hel_1:0-0
11.00-12.00,g9596:kop_1-sto_1:0-0,g9798:sto_1-got_1:0-0,g9596:sto_2-nor_1:0-0,b9596:nor_1-sto_1:0-0,g9798:got_2-nor_1:0-0
13.00-14.00,b9798:kop_1-sto_1:0-0,b9798:got_1-nor_1:0-0,b9901:kop_1-got_1:0-0,b9596:kop_1-sto_1:0-0,b9901:nor_1-hel_1:0-0,b9596:sto_2-kop_2:0-0
15.00-16.00,b9596:kop_1-kop_2:0-0,b9901:kop_1-hel_1:0-0,b9596:sto_2-nor_1:0-0,b9901:got_1-sto_1:0-0,b9901:nor_1-nor_2:0-0
Day 3
09.00-10.00,b9901:kop_1-sto_1:0-0,b9901:hel_1-nor_2:0-0,b9901:got_1-nor_1:0-0
